2026-04-06 15:24:50 | INFO    | dupla.multi_dwg_cad          | === APS: BLCAD14011.dwg ===
2026-04-06 15:24:51 | DEBUG   | dupla.runner                 | Auto-unique upload suffix: 20260406_152451
2026-04-06 15:24:55 | INFO    | dupla.runner                 | DWG uploaded as 'BLCAD14011_20260406_152451.dwg' to bucket 'dupla_dwg_bucket_test_01'
2026-04-06 15:25:24 | INFO    | dupla.runner                 | Raw Autodesk JSON saved: C:\Users\Enrique Casanova\Dupla\output\prueba_web_01\run_2026-04-06_151553\BLCAD14011.autodesk_raw.json
2026-04-06 15:25:24 | INFO    | dupla.runner                 | Normalized CAD facts saved: C:\Users\Enrique Casanova\Dupla\output\prueba_web_01\run_2026-04-06_151553\BLCAD14011.normalized.json (4 keys)
2026-04-06 15:25:24 | INFO    | dupla.multi_dwg_cad          | === APS: BLCAD14012.dwg ===
2026-04-06 15:25:25 | DEBUG   | dupla.runner                 | Auto-unique upload suffix: 20260406_152525
2026-04-06 15:25:27 | INFO    | dupla.runner                 | DWG uploaded as 'BLCAD14012_20260406_152525.dwg' to bucket 'dupla_dwg_bucket_test_01'
2026-04-06 15:26:06 | INFO    | dupla.runner                 | Raw Autodesk JSON saved: C:\Users\Enrique Casanova\Dupla\output\prueba_web_01\run_2026-04-06_151553\BLCAD14012.autodesk_raw.json
2026-04-06 15:26:06 | INFO    | dupla.runner                 | Normalized CAD facts saved: C:\Users\Enrique Casanova\Dupla\output\prueba_web_01\run_2026-04-06_151553\BLCAD14012.normalized.json (4 keys)
2026-04-06 15:26:06 | INFO    | dupla.multi_dwg_cad          | === APS: BLCAD14013.dwg ===
2026-04-06 15:26:08 | DEBUG   | dupla.runner                 | Auto-unique upload suffix: 20260406_152608
2026-04-06 15:26:10 | INFO    | dupla.runner                 | DWG uploaded as 'BLCAD14013_20260406_152608.dwg' to bucket 'dupla_dwg_bucket_test_01'
2026-04-06 15:26:37 | INFO    | dupla.runner                 | Raw Autodesk JSON saved: C:\Users\Enrique Casanova\Dupla\output\prueba_web_01\run_2026-04-06_151553\BLCAD14013.autodesk_raw.json
2026-04-06 15:26:37 | INFO    | dupla.runner                 | Normalized CAD facts saved: C:\Users\Enrique Casanova\Dupla\output\prueba_web_01\run_2026-04-06_151553\BLCAD14013.normalized.json (4 keys)
2026-04-06 15:26:37 | INFO    | dupla.multi_dwg_cad          | === APS: BLCAD14014.dwg ===
2026-04-06 15:26:38 | DEBUG   | dupla.runner                 | Auto-unique upload suffix: 20260406_152638
2026-04-06 15:26:40 | INFO    | dupla.runner                 | DWG uploaded as 'BLCAD14014_20260406_152638.dwg' to bucket 'dupla_dwg_bucket_test_01'
2026-04-06 15:27:07 | INFO    | dupla.runner                 | Raw Autodesk JSON saved: C:\Users\Enrique Casanova\Dupla\output\prueba_web_01\run_2026-04-06_151553\BLCAD14014.autodesk_raw.json
2026-04-06 15:27:08 | INFO    | dupla.runner                 | Normalized CAD facts saved: C:\Users\Enrique Casanova\Dupla\output\prueba_web_01\run_2026-04-06_151553\BLCAD14014.normalized.json (4 keys)
2026-04-06 15:27:08 | INFO    | dupla.multi_dwg_cad          | === APS: BLCAD14015.dwg ===
2026-04-06 15:27:09 | DEBUG   | dupla.runner                 | Auto-unique upload suffix: 20260406_152709
2026-04-06 15:27:11 | INFO    | dupla.runner                 | DWG uploaded as 'BLCAD14015_20260406_152709.dwg' to bucket 'dupla_dwg_bucket_test_01'
2026-04-06 15:27:37 | INFO    | dupla.runner                 | Raw Autodesk JSON saved: C:\Users\Enrique Casanova\Dupla\output\prueba_web_01\run_2026-04-06_151553\BLCAD14015.autodesk_raw.json
2026-04-06 15:27:37 | INFO    | dupla.runner                 | Normalized CAD facts saved: C:\Users\Enrique Casanova\Dupla\output\prueba_web_01\run_2026-04-06_151553\BLCAD14015.normalized.json (4 keys)
2026-04-06 15:27:37 | INFO    | dupla.multi_dwg_cad          | Fusionado guardado: C:\Users\Enrique Casanova\Dupla\output\prueba_web_01\run_2026-04-06_151553\project_merged.normalized.json (objetos totales declarados: 14794)
2026-04-06 15:27:37 | INFO    | dupla.multi_dwg_cad          | Presupuesto CAD fusionado…
2026-04-06 15:27:37 | INFO    | dupla.pipeline               | build_budget_from_sources: starting hybrid inventory + takeoffs
2026-04-06 15:27:37 | INFO    | dupla.pipeline               | No vision payloads — building CAD-only inventory for 'merged:BLCAD14001+BLCAD14002+BLCAD14003+BLCAD14004+BLCAD14005+BLCAD14006+BLCAD14007+BLCAD14008+BLCAD14009+BLCAD14010+BLCAD14011+BLCAD14012+BLCAD14013+BLCAD14014+BLCAD14015'
2026-04-06 15:27:37 | INFO    | dupla.pipeline               | Takeoffs: 21 base -> 31 expanded (rules applied)
2026-04-06 15:27:37 | INFO    | dupla.pipeline               | After PRES merge: 31 takeoffs
2026-04-06 15:27:37 | INFO    | dupla.pipeline               | Matching 31 takeoffs to BC3 catalog
2026-04-06 21:15:18 | INFO    | dupla.pipeline               | BC3 candidates matched for 31 takeoff keys
2026-04-06 21:15:18 | INFO    | dupla.composer               | Budget diagnostics: 31 total takeoffs, 13 budgetable, 18 excluded
2026-04-06 21:15:18 | DEBUG   | dupla.composer               | Exclusion reasons: {'type_excluded': 10, 'derived_child': 3, 'unmapped_item_type': 3, 'structural_subtype_excluded': 2}
2026-04-06 21:15:18 | INFO    | dupla.composer               | Budget composed: 3 chapters, 13 lines, 19 rows
2026-04-06 21:15:18 | INFO    | dupla.pipeline               | Budget built: 3 chapters, 13 lines, 19 rows
2026-04-06 21:15:19 | INFO    | dupla.multi_dwg_cad          | Excel: C:\Users\Enrique Casanova\Dupla\output\prueba_web_01\run_2026-04-06_151553\dupla_presupuesto_proyecto_merged.xlsx
